"Field", "Name", "Required", "Datatype", "Is array", "Description"
"usuarios.email","email","Yes","string","No",""
"usuarios.password","password","Yes","string","No",""
"usuarios.nombre","nombre","Yes","string","No",""
"usuarios.fecha_nacimiento","fecha_nacimiento","Yes","date","No",""
"usuarios.sexo","sexo","Yes","enum: ["hombre", "mujer"]","No",""
"usuarios.pais","pais","Yes","string","No",""
"usuarios.codigo_postal","codigo_postal","Yes","string","No",""
"videos.titulo","titulo","Yes","string","No",""
"videos.descripcion","descripcion","Yes","string","No",""
"videos.tamano","tamano","Yes","double","No",""
"videos.nombre_archivo","nombre_archivo","Yes","string","No",""
"videos.duracion","duracion","Yes","double","No",""
"videos.thumbnail","thumbnail","Yes","binData","No",""
"videos.reproducciones","reproducciones","Yes","int","No",""
"videos.likes","likes","No","document","Yes",""
"videos.likes.id_usuario","id_usuario","Yes","int","No",""
"videos.likes.fecha_hora_like","fecha_hora_like","Yes","timestamp","No",""
"videos.dislikes","dislikes","No","document","Yes",""
"videos.dislikes.id_usuario","id_usuario","Yes","int","No",""
"videos.dislikes.fecha_hora_dislike","fecha_hora_dislike","Yes","timestamp","No",""
"videos.estado","estado","Yes","enum: ["publico", "oculto", "privado"]","No",""
"videos.etiquetas","etiquetas","No","string","Yes",""
"videos.usuario","usuario","Yes","document","No",""
"videos.usuario.id_usuario","id_usuario","Yes","objectId","No",""
"videos.usuario.nombre","nombre","Yes","string","No",""
"videos.fecha_hora_publicacion","fecha_hora_publicacion","Yes","timestamp","No",""
"videos.comentarios","comentarios","No","document","Yes",""
"videos.comentarios.id","id","Yes","objectId","No",""
"videos.comentarios.texto","texto","Yes","string","No",""
"videos.comentarios.fecha_hora_comentario","fecha_hora_comentario","Yes","timestamp","No",""
"videos.comentarios.likes","likes","No","document","Yes",""
"videos.comentarios.likes.id_usuario","id_usuario","Yes","int","No",""
"videos.comentarios.likes.fecha_hora_dislike","fecha_hora_dislike","Yes","timestamp","No",""
"videos.comentarios.dislikes","dislikes","No","document","Yes",""
"videos.comentarios.dislikes.id_usuario","id_usuario","Yes","int","No",""
"videos.comentarios.dislikes.fecha_hora_dislike","fecha_hora_dislike","Yes","timestamp","No",""
"videos.playlist","playlist","No","document","Yes",""
"videos.playlist.id_playlist","id_playlist","Yes","int","No",""
"videos.playlist.videos","videos","Yes","document","Yes",""
"videos.playlist.videos.id_video","id_video","Yes","int","No",""
"videos.playlist.videos.nombre","nombre","Yes","string","No",""
"videos.playlist.nombre","nombre","Yes","string","Yes",""
"videos.canal","canal","Yes","document","Yes",""
"videos.canal.id_canal","id_canal","Yes","int","No",""
"videos.canal.nombre","nombre","Yes","string","No",""
"videos.canal.suscriptores","suscriptores","Yes","document","Yes",""
"videos.canal.suscriptores.id_usuario","id_usuario","Yes","int","No",""
"videos.canal.suscriptores.nombre","nombre","Yes","string","No",""
"canales.nombre","nombre","Yes","string","No",""
"canales.descripcion","descripcion","Yes","string","No",""
"canales.fecha_creacion","fecha_creacion","Yes","date","No",""
"canales.suscriptores","suscriptores","No","document","Yes",""
"canales.suscriptores.id_usuario","id_usuario","No","objectId","No",""
"canales.suscriptores.nombre","nombre","No","objectId","No",""
"playlists.videos","videos","Yes","document","Yes",""
"playlists.videos.id_video","id_video","Yes","objectId","No",""
"playlists.videos.titulo","titulo","Yes","string","No",""
"playlists.videos.duracion","duracion","Yes","double","No",""
"playlists.videos.creador","creador","Yes","string","No",""
"playlists.nombre","nombre","Yes","string","No",""
"playlists.fecha_creacion","fecha_creacion","Yes","string","No",""
"playlists.estado","estado","Yes","enum: ["publico", "privado"]","No",""
